caseId,original_order,text,author,note,appendix,n_sentence,llm_text
2022-001,236,"12 See 88 Fed. Reg. 3134, Corps, Questions and Answers for Rapanos and Carabell Decision 16 (2007), J. Finkle, Jurisdictional Determinations: An Important Battlefield in the Clean Water Act Fight, 43 Ecology L. Q. 301, 314-315 (2016), K. Gould, Drowning in Wetlands Jurisdictional Determination Process: Implementation of Rapanos v. United States, 30 U. Ark. Little Rock L. Rev. 413, 440 (2008).",Kavanaugh,0,,1,"See [citation], Corps, Questions and Answers for Rapanos and Carabell Decision 16 [citation], J Finkle, Jurisdictional Determinations: An Important Battlefield in the Clean Water Act Fight, [citation], K Gould, Drowning in Wetlands Jurisdictional Determination Process: Implementation of [citation], [citation]."
2022-001,237,"13 See, e.g., 16 U.S.C. § 745 (the waters of the seacoast  the waters of the lakes), § 4701(a)(7) (waters of the Chesapeake Bay), 33 U.S.C. § 4 (the waters of the Mississippi River and its tributaries), 43 U.S.C. § 390h-8(a) (the waters of Lake Cheraw, Colorado  the waters of the Arkansas River), 46 U.S.C. § 70051 (allowing the Coast Guard to take control of particular vessels during an emergency in order to prevent damage or injury to any harbor or waters of the United States).",Kavanaugh,0,,1,"See eg, [statute] (the waters of the seacoast  the waters of the lakes), [statute] (waters of the Chesapeake Bay), [statute] (the waters of the Mississippi River and its tributaries), [statute] (the waters of Lake Cheraw, Colorado  the waters of the Arkansas River), [statute] (allowing the Coast Guard to take control of particular vessels during an emergency in order to prevent damage or injury to any harbor or waters of the United States)."
2022-001,238,"14 See, e.g., United States v. Alvarez-Machain, 504 U.S. 655, 661, n. 7, 112 S.Ct. 2188, 119 L.Ed.2d 441 (1992) (discussing a treaty to allow British passenger ships to carry liquor while in the waters of the United States), Kent v. Dulles, 357 U.S. 116, 123, 78 S.Ct. 1113, 2 L.Ed.2d 1204 (1958) (discussing a prohibition on boarding vessels of the enemy on waters of the United States), New Jersey v. New York City, 290 U.S. 237, 240, 54 S.Ct. 136, 78 L.Ed. 291 (1933) (enjoining employees of New York City from dumping garbage into the ocean, or waters of the United States, off the coast of New Jersey), Cunard S. S. Co. v. Mellon, 262 U.S. 100, 127, 43 S.Ct. 504, 67 L.Ed. 894 (1923) (holding that the National Prohibition Act did not apply to merchant ships when outside the waters of the United States), Keck v. United States, 172 U.S. 434, 444-445, 19 S.Ct. 254, 43 L.Ed. 505 (1899) (holding that concealing imported goods on vessels at the time of entering the waters of the United States, without more, did not constitute smuggling).",Kavanaugh,0,,1,"See eg, [citation] (discussing a treaty to allow British passenger ships to carry liquor while in the waters of the United States), [citation] (discussing a prohibition on boarding vessels of the enemy on waters of the United States), [citation] (enjoining employees of New York City from dumping garbage into the ocean, or waters of the United States, off the coast of New Jersey), [citation] (holding that the National Prohibition Act did not apply to merchant ships when outside the waters of the United States), [citation] (holding that concealing imported goods on vessels at the time of entering the waters of the United States, without more, did not constitute smuggling)."
2022-001,239,"15 This provision states in relevant part: The Governor of any State desiring to administer its own individual and general permit program for the discharge of dredged or fill material into the navigable waters (other than those waters which are presently used, or are susceptible to use in their natural condition or by reasonable improvement as a means to transport interstate or foreign commerce shoreward to their ordinary high water mark, including all waters which are subject to the ebb and flow of the tide shoreward to their mean high water mark, or mean higher high water mark on the west coast, including wetlands adjacent thereto) within its jurisdiction may submit to the Administrator a full and complete description of the program it proposes to establish and administer under State law or under an interstate compact. 33 U.S.C. § 1344(g)(1).",Kavanaugh,0,,1,"This provision states in relevant part: The Governor of any State desiring to administer its own individual and general permit program for the discharge of dredged or fill material into the navigable waters (other than those waters which are presently used, or are susceptible to use in their natural condition or by reasonable improvement as a means to transport interstate or foreign commerce shoreward to their ordinary high water mark, including all waters which are subject to the ebb and flow of the tide shoreward to their mean high water mark, or mean higher high water mark on the west coast, including wetlands adjacent thereto) within its jurisdiction may submit to the Administrator a full and complete description of the program it proposes to establish and administer under State law or under an interstate compact. [statute]."
2022-001,240,"16 Although a barrier separating a wetland from a water of the United States would ordinarily remove that wetland from federal jurisdiction, a landowner cannot carve out wetlands from federal jurisdiction by illegally constructing a barrier on wetlands otherwise covered by the CWA. Whenever the EPA can exercise its statutory authority to order a barrier's removal because it violates the Act, see 33 U.S.C. §§ 1319(a)-(b), that unlawful barrier poses no bar to its jurisdiction.",Kavanaugh,0,,2,"Although a barrier separating a wetland from a water of the United States would ordinarily remove that wetland from federal jurisdiction, a landowner cannot carve out wetlands from federal jurisdiction by illegally constructing a barrier on wetlands otherwise covered by the CWA. Whenever the EPA can exercise its statutory authority to order a barrier's removal because it violates [statute], see [citation], that unlawful barrier poses no bar to its jurisdiction."
2022-001,241,"1 Courts had long carefully enforced limits on Congress' navigation authority in prosecutions brought under the Act of July 7, 1838, ch. 191, 5 Stat. 304 (Steamboat Acts of 1838), which prohibited the transportation of goods upon the bays, lakes, rivers, or other navigable waters of the United States by certain steamboats. See, e.g., The Seneca, 27 F. Cas. 1021 (No. 16,251) (D.C. Wis. 1861), see also The James Morrison, 26 F.Cas. 579, 582 (No. 15,465) (D.C. Mo. 1846) (holding that the 1838 Act did not reach a ship whose employment had no other than a remote connection with `commerce or navigation among the several states,' no more connection than has the farmer who cultivates hemp, tobacco or cotton for a market in other states—the miner who digs and smelts lead—the manufacturer who manufactures for the same market, or the traveler who intends purchasing any of these articles).",Kavanaugh,0,,5,"Courts had long carefully enforced limits on Congress' navigation authority in prosecutions brought under [statute], which prohibited the transportation of goods upon the bays, lakes, rivers, or other navigable waters of the United States by certain steamboats. See, eg, [citation], see also [citation] (holding that the 1838 Act did not reach a ship whose employment had no other than a remote connection with `commerce or navigation among the several states,' no more connection than has the farmer who cultivates hemp, tobacco or cotton for a market in other states—the miner who digs and smelts lead—the manufacturer who manufactures for the same market, or the traveler who intends purchasing any of these articles)."
2022-001,242,"2 The early 20th century also saw the Reclamation Act of 1902, ch. 1093, 32 Stat. 388, Federal Power Act, ch. 285, 41 Stat. 1063, Oil Pollution Act, 1924, ch. 316, 43 Stat. 604, and Flood Control Act of 1936, ch. 688, 49 Stat. 1570, all of which relied on navigability. See Walston 724-726. Although the Acts were also designed to achieve incidental benefits such as pollution control, Congress located its authority in preserving navigation. Ibid.",Kavanaugh,0,,2,"The early 20th century also saw the [statute], [statute], [statute], and [statute], all of which relied on navigability. [citation]. Although the Acts were also designed to achieve incidental benefits such as pollution control, Congress located its authority in preserving navigation. [citation]."
2022-001,243,"3 The English rule tied navigability to the ebb and flow of the tides, but began to be eroded in America as early as the Northwest Ordinance of 1787 due to the superior commercial capacity of American inland rivers. See The Daniel Ball, 10 Wall. 557, 563, 19 L.Ed. 999 (1871), Propeller Genesee Chief v. Fitzhugh, 12 How. 443, 454-457, 13 L.Ed. 1058 (1852), see also Economy Light & Power Co. v. United States, 256 U.S. 113, 120, 41 S.Ct. 409, 65 L.Ed. 847 (1921) (It is curious and interesting that the importance of these inland waterways, and the inappropriateness of the tidal test in defining our navigable waters, was thus recognized by the Congress of the Confederation in the Northwest Ordinance more than 80 years before this court decided The Daniel Ball  and more than 60 years before The Propeller Genesee Chief).",Kavanaugh,0,,5,"3 The English rule tied navigability to the ebb and flow of the tides, but began to be eroded in America as early as the Northwest Ordinance of 1787 due to the superior commercial capacity of American inland rivers. [citation]. [citation], [citation], see also [citation] It is curious and interesting that the importance of these inland waterways, and the inappropriateness of the tidal test in defining our navigable waters, was thus recognized by the Congress of the Confederation in the Northwest Ordinance more than 80 years before this court decided [citation] and more than 60 years before [citation]."
2022-001,244,"4 Leovy v. United States also reflected the law's longstanding hostility to wetlands: If there is any fact which may be supposed to be known by everybody, and, therefore, by courts, it is that swamps and stagnant waters are the cause of malarial and malignant fevers, and that the police power is never more legitimately exercised than in removing such nuisances. 177 U.S., at 636, 20 S.Ct. 797. Traditionally, the only time wetlands were the subject of federal legislation was to aid the States in draining them. See, e.g., Swamp Land Act of 1850, ch. 84, 9 Stat. 519, see also S. Johnson, Wetlands Law: A Course Source 25-26 (2d ed. 2018). Wetlands preservation only gained traction due, in large part, to advances in firearms technology that made waterfowl hunting feasible. G. Baldassarre & E. Bolen, Waterfowl Ecology and Management 10-14 (1994).",Kavanaugh,0,,5,"Leovy v. United States also reflected the law's longstanding hostility to wetlands: If there is any fact which may be supposed to be known by everybody, and, therefore, by courts, it is that swamps and stagnant waters are the cause of malarial and malignant fevers, and that the police power is never more legitimately exercised than in removing such nuisances. [citation]. Traditionally, the only time wetlands were the subject of federal legislation was to aid the States in draining them. [citation]. Wetlands preservation only gained traction due, in large part, to advances in firearms technology that made waterfowl hunting feasible. [citation]."
2022-001,245,"5 In fact, when Congress has wished to depart from this traditional meaning, it has done so expressly, as in parts of the Federal Power Act, § 23, 41 Stat. 1075 (requiring approval for dam construction across, along, over, or in any stream or part thereof, other than those defined herein this chapter as navigable waters), the Federal Water Pollution Control Act, ch. 758, § 2(a), 62 Stat. 1155 (as amended, 86 Stat. 816) (authorizing federal-state cooperation to abate water pollution in interstate waters and their tributaries), and the Water Quality Act of 1965, 79 Stat. 905-906 (authorizing grants to research abatement of pollution into any waters), see Hardy Salt Co. v. Southern Pacific Transp. Co., 501 F.2d 1156, 1168 (C.A.10 1974) (noting that Congress only departs from the expanded Daniel Ball test by using clear and explicit language, as it did in parts of the Federal Power Act).",Kavanaugh,0,,6,"In fact, when Congress has wished to depart from this traditional meaning, it has done so expressly, as in parts of [statute] (requiring approval for dam construction across, along, over, or in any stream or part thereof, other than those defined herein this chapter as navigable waters), [statute] (authorizing federal-state cooperation to abate water pollution in interstate waters and their tributaries), and [statute] (authorizing grants to research abatement of pollution into any waters), see [citation] (noting that Congress only departs from the expanded Daniel Ball test by using clear and explicit language, as it did in parts of [statute])."
