caseId,original_order,text,author,note,appendix
2022-001,36,"This case concerns a nagging question about the outer reaches of the Clean Water Act (CWA), the principal federal law regulating water pollution in the United States.1 By all accounts, the Act has been a great success. Before its enactment in 1972, many of the Nation's rivers, lakes, and streams were severely polluted, and existing federal legislation had proved to be inadequate. Today, many formerly fetid bodies of water are safe for the use and enjoyment of the people of this country.",Alito,0,
2022-001,37,"There is, however, an unfortunate footnote to this success story: the outer boundaries of the Act's geographical reach have been uncertain from the start. The Act applies to the waters of the United States, but what does that phrase mean? Does the term encompass any backyard that is soggy enough for some minimum period of time? Does it reach mudflats, sandflats, wetlands, sloughs, prairie potholes, wet meadows, or playa lakes?2 How about ditches, swimming pools, and puddles?",Alito,0,
2022-001,38,"For more than a half century, the agencies responsible for enforcing the Act have wrestled with the problem and adopted varying interpretations. On three prior occasions, this Court has tried to clarify the meaning of the waters of the United States. But the problem persists. When we last addressed the question 17 years ago, we were unable to agree on an opinion of the Court.3 Today, we return to the problem and attempt to identify with greater clarity what the Act means by the waters of the United States.",Alito,0,
2022-001,41,"For most of this Nation's history, the regulation of water pollution was left almost entirely to the States and their subdivisions. The common law permitted aggrieved parties to bring nuisance suits against polluters. But as industrial production and population growth increased the quantity and toxicity of pollution, States gradually shifted to enforcement by regulatory agencies.4 Conversely, federal regulation was largely limited to ensuring that traditional navigable waters—that is, interstate waters that were either navigable in fact and used in commerce or readily susceptible of being used in this way— remained free of impediments. See, e.g., Rivers and Harbors Act of 1899, 30 Stat. 1151, see also United States v. Appalachian Elec. Power Co., 311 U.S. 377, 406-407, 61 S.Ct. 291, 85 L.Ed. 243 (1940), The Daniel Ball, 10 Wall. 557, 563, 19 L.Ed. 999 (1871).",Alito,0,
2022-001,42,"Congress's early efforts at directly regulating water pollution were tepid. Although the Federal Water Pollution Control Act of 1948 allowed federal officials to seek judicial abatement of pollution in interstate waters, it imposed high hurdles, such as requiring the consent of the State where the pollution originated. See 62 Stat. 1156-1157. Despite repeated amendments over the next two decades, few actions were brought under this framework.5",Alito,0,
2022-001,43,"Congress eventually replaced this scheme in 1972 with the CWA. See 86 Stat. 816. The Act prohibits the discharge of any pollutant into navigable waters. 33 U.S.C. §§ 1311(a), 1362(12)(A). It broadly defines the term `pollutant' to include not only contaminants like chemical wastes, but also more mundane materials like rock, sand, and cellar dirt. § 1362(6).",Alito,0,
2022-001,44,"The CWA is a potent weapon. It imposes what have been described as crushing consequences even for inadvertent violations. Army Corps of Engineers v. Hawkes Co., 578 U.S. 590, 602, 136 S.Ct. 1807, 195 L.Ed.2d 77 (2016) (KENNEDY, J., concurring). Property owners who negligently discharge pollutants into covered waters may face severe criminal penalties including imprisonment. § 1319(c). These penalties increase for knowing violations. Ibid. On the civil side, the CWA imposes over $60,000 in fines per day for each violation. See Note following 28 U.S.C. § 2461, 33 U.S.C. § 1319(d), 88 Fed. Reg. 989 (2023) (to be codified in 40 C.F.R. § 19.4). And due to the Act's 5-year statute of limitations, 28 U.S.C. § 2462, and expansive interpretations of the term violation, these civil penalties can be nearly as crushing as their criminal counterparts, see, e.g., Borden Ranch Partnership v. United States Army Corps of Engineers, 261 F.3d 810, 813, 818 (C.A.9 2001) (upholding Agency decision to count each of 348 passes of a plow by a farmer through jurisdictional soil on his farm as a separate violation), aff'd by an equally divided Court, 537 U.S. 99, 123 S.Ct. 599, 154 L.Ed.2d 508 (2002) (per curiam).",Alito,0,
2022-001,45,"The Environmental Protection Agency (EPA) and the Army Corps of Engineers (Corps) jointly enforce the CWA. The EPA is tasked with policing violations after the fact, either by issuing orders demanding  compliance or by bringing civil actions. § 1319(a). The Act also authorizes private plaintiffs to sue to enforce its requirements. § 1365(a). On the front end, both agencies are empowered to issue permits exempting activity that would otherwise be unlawful under the Act. Relevant here, the Corps controls permits for the discharge of dredged or fill material into covered waters. See § 1344(a). The costs of obtaining such a permit are significant, and both agencies have admitted that the permitting process can be arduous, expensive, and long. Hawkes Co., 578 U.S., at 594-595, 601, 136 S.Ct. 1807. Success is also far from guaranteed, as the Corps has asserted discretion to grant or deny permits based on a long, nonexclusive list of factors that ends with a catchall mandate to consider in general, the needs and welfare of the people. 33 C.F.R. § 320.4(a)(1) (2022).",Alito,0,
2022-001,46,"Due to the CWA's capacious definition of pollutant, its low mens rea, and its severe penalties, regulated parties have focused particular attention on the Act's geographic scope. While its predecessor encompassed interstate or navigable waters, 33 U.S.C. § 1160(a) (1970 ed.), the CWA prohibits the discharge of pollutants into only navigable waters, which it defines as the waters of the United States, including the territorial seas, 33 U.S.C. §§ 1311(a), 1362(7), (12)(A) (2018 ed.). The meaning of this definition is the persistent problem that we must address.",Alito,0,
2022-001,48,"Michael and Chantell Sackett have spent well over a decade navigating the CWA, and their voyage has been bumpy and costly. In 2004, they purchased a small lot near Priest Lake, in Bonner County, Idaho. In preparation for building a modest home, they began backfilling their property with dirt and rocks. A few months later, the EPA sent the Sacketts a compliance order informing them that their backfilling violated the CWA because their property contained protected wetlands. The EPA demanded that the Sacketts immediately `undertake activities to restore the Site' pursuant to a `Restoration Work Plan' that it provided. Sackett v. EPA, 566 U.S. 120, 125, 132 S.Ct. 1367, 182 L.Ed.2d 367 (2012). The order threatened the Sacketts with penalties of over $40,000 per day if they did not comply.",Alito,0,
2022-001,49,"At the time, the EPA interpreted the waters of the United States to include all  waters that could affect interstate or foreign commerce, as well as wetlands adjacent to those waters. 40 C.F.R. §§ 230.3(s)(3), (7) (2008). Adjacent was defined to mean not just bordering or contiguous, but also neighboring. § 230.3(b). Agency guidance instructed officials to assert jurisdiction over wetlands adjacent to non-navigable tributaries when those wetlands had a significant nexus to a traditional navigable water.6 A significant nexus was said to exist when `wetlands, either alone or in combination with similarly situated lands in the region, significantly affect the chemical, physical, and biological integrity' of those waters. 2007 Guidance 8 (emphasis added). In looking for evidence of a significant nexus, field agents were told to consider a wide range of openended hydrological and ecological factors. See id., at 7.",Alito,0,
2022-001,50,"According to the EPA, the wetlands on the Sacketts' lot are adjacent to (in the sense that they are in the same neighborhood as) what it described as an unnamed tributary on the other side of a 30-foot  road. App. 33. That tributary feeds into a non-navigable creek, which, in turn, feeds into Priest Lake, an intrastate body of water that the EPA designated as traditionally navigable. To establish a significant nexus, the EPA lumped the Sacketts' lot together with the Kalispell Bay Fen, a large nearby wetland complex that the Agency regarded as similarly situated. According to the EPA, these properties, taken together, significantly affect the ecology of Priest Lake. Therefore, the EPA concluded, the Sacketts had illegally dumped soil and gravel onto the waters of the United States.",Alito,0,
2022-001,51,"The Sacketts filed suit under the Administrative Procedure Act, 5 U.S.C. § 702 et seq., alleging that the EPA lacked jurisdiction because any wetlands on their property were not waters of the United States. The District Court initially dismissed the suit, reasoning that the compliance order was not a final agency action, but this Court ultimately held that the Sacketts could bring their suit under the APA. See Sackett, 566 U.S., at 131, 132 S.Ct. 1367. After seven years of additional proceedings on remand, the District Court entered summary judgment for the EPA. 2019 WL 13026870 (D. Idaho, Mar. 31, 2019). The Ninth Circuit affirmed, holding that the CWA covers adjacent wetlands with a significant nexus to traditional navigable waters and that the Sacketts' lot satisfied that standard. 8 F.4th 1075, 1091-1093 (2021).",Alito,0,
2022-001,52,"We granted certiorari to decide the proper test for determining whether wetlands are waters of the United States. 595 U.S. ___, 142 S.Ct. 896, 211 L.Ed.2d 604 (2022).",Alito,0,
2022-001,55,"In defining the meaning of the waters of the United States, we revisit what has been a contentious and difficult task. National Assn. of Mfrs. v. Department of Defense, 583 U.S. ___, ___, 138 S.Ct. 617, 624, 199 L.Ed.2d 501 (2018). The phrase has sparked decades of agency action and litigation. In order to resolve the CWA's applicability to wetlands, we begin by reviewing this history.",Alito,0,
2022-001,56,"The EPA and the Corps initially promulgated different interpretations of the waters of the United States. The EPA defined its jurisdiction broadly to include, for example, intrastate lakes used by interstate travelers. 38 Fed. Reg. 13529 (1973). Conversely, the Corps, consistent with its historical authority to regulate obstructions to navigation, asserted jurisdiction over only traditional navigable waters. 39 Fed. Reg. 12119 (1974). But the Corps' narrow definition did not last. It soon promulgated new, much broader definitions designed to reach the outer limits of Congress's commerce power. See 42 Fed. Reg. 37144, and n. 2 (1977), 40 Fed. Reg. 31324-31325 (1975).",Alito,0,
2022-001,57,"Eventually the EPA and Corps settled on materially identical definitions. See 45 Fed. Reg. 33424 (1980), 47 Fed. Reg. 31810-31811 (1982). These broad definitions encompassed all  waters that could affect interstate or foreign commerce. 40 C.F.R. § 230.3(s)(3) (2008). So long as the potential for an interstate effect was present, the regulation extended the CWA to, for example, intrastate lakes, rivers, streams (including intermittent streams), mudflats, sandflats, wetlands, sloughs, prairie potholes, wet meadows, playa lakes, or natural ponds. Ibid. The agencies likewise took an expansive view of the CWA's coverage of wetlands adjacent to covered waters. § 230.3(s)(7). As noted, they defined adjacent to mean bordering, contiguous, or neighboring and clarified that adjacent wetlands include  those that are separated from covered waters by man-made dikes or barriers, natural river berms, beach dunes and the like. § 230.3(b). They also specified that wetlands is a technical term encompassing those areas that are inundated or saturated by surface or ground water at a frequency and duration sufficient to support, and that under normal conditions do support, a prevalence of vegetation typically adapted for life in saturated soil conditions. § 230.3(t). The Corps released what would become a 143-page manual to guide officers when they determine whether property meets this definition.7",Alito,0,
2022-001,58,"This Court first construed the meaning of the waters of the United States in United States v. Riverside Bayview Homes, Inc., 474 U.S. 121, 106 S.Ct. 455, 88 L.Ed.2d 419 (1985). There, we were confronted with the Corps' assertion of authority under the CWA over wetlands that actually abutted on a navigable waterway. Id., at 135, 106 S.Ct. 455. Although we expressed concern that wetlands seemed to fall outside traditional notions of `waters,' we nonetheless deferred to the Corps, reasoning that the transition from water to solid ground is not necessarily or even typically an abrupt one. Id., at 132-133, 106 S.Ct. 455.",Alito,0,
2022-001,59,"The agencies responded to Riverside Bayview by expanding their interpretations even further. Most notably, they issued the migratory bird rule, which extended jurisdiction to any waters or wetlands that are or would be used as a habitat by migratory birds or endangered species. See 53 Fed. Reg. 20765 (1988), 51 Fed. Reg. 41217 (1986). As the Corps would later admit, nearly all waters were jurisdictional under the migratory bird rule.8",Alito,0,
2022-001,60,"In Solid Waste Agency of Northern Cook Cty. v. Army Corps of Engineers, 531 U.S. 159, 121 S.Ct. 675, 148 L.Ed.2d 576 (2001) (SWANCC), this Court rejected the migratory bird rule, which the Corps had used to assert jurisdiction over several isolated ponds located wholly within the State of Illinois. Disagreeing with the Corps' argument that ecological interests supported its jurisdiction, we instead held that the CWA does not extend to ponds that are not adjacent to open water. Id., at 168, 121 S.Ct. 675 (emphasis deleted).",Alito,0,
2022-001,61,"Days after our decision, the agencies issued guidance that sought to minimize SWANCC's impact. They took the view that this Court's holding was strictly limited to waters that are `nonnavigable, isolated, and intrastate' and that field staff should continue to exercise CWA jurisdiction to the full extent of their authority for any waters that fall outside of that category.9 The agencies never defined exactly what they regarded as the full extent of their authority. They instead encouraged local field agents to make decisions on a case-by-case basis.",Alito,0,
2022-001,62,"What emerged was a system of vague rules that depended on locally developed practices. GAO Report 26. Deferring to the agencies' localized decisions, lower courts blessed an array of expansive interpretations of the CWA's reach. See, e.g.,  United States v. Deaton, 332 F.3d 698, 702 (C.A.4 2003) (holding that a property owner violated the CWA by piling soil near a ditch 32 miles from navigable waters). Within a few years, the agencies had interpreted their jurisdiction over `the waters of the United States' to cover 270-to-300 million acres of wetlands and virtually any parcel of land containing a channel or conduit  through which rainwater or drainage may occasionally or intermittently flow. Rapanos v. United States, 547 U.S. 715, 722, 126 S.Ct. 2208, 165 L.Ed.2d 159 (2006) (plurality opinion).",Alito,0,
2022-001,63,"It was against this backdrop that we granted review in Rapanos v. United States. The lower court in the principal case before us had held that the CWA covered wetlands near ditches and drains that eventually emptied into navigable waters at least 11 miles away, a theory that had supported the petitioner's conviction in a related prosecution. Id., at 720, 729, 126 S.Ct. 2208. Although we vacated that decision, no position commanded a majority of the Court. Four Justices concluded that the CWA's coverage did not extend beyond two categories: first, certain relatively permanent bodies of water connected to traditional interstate navigable waters and, second, wetlands with such a close physical connection to those waters that they were as a practical matter indistinguishable from waters of the United States. Id., at 742, 755, 126 S.Ct. 2208 (emphasis deleted). Four Justices would have deferred to the Government's determination that the wetlands at issue were covered under the CWA. Id., at 788, 126 S.Ct. 2208 (STEVENS, J., dissenting). Finally, one Justice concluded that jurisdiction under the CWA requires a significant nexus between wetlands and navigable waters and that such a nexus exists where the wetlands, either alone or in combination with similarly situated lands in the region, significantly affect the chemical, physical, and biological integrity of those waters. Id., at 779-780, 126 S.Ct. 2208 (KENNEDY, J., concurring in judgment).",Alito,0,
