caseId,original_order,text,author,note,appendix,n_sentence,llm_text
2022-001,36,"This case concerns a nagging question about the outer reaches of the Clean Water Act (CWA), the principal federal law regulating water pollution in the United States.[1] By all accounts, the Act has been a great success. Before its enactment in 1972, many of the Nation's rivers, lakes, and streams were severely polluted, and existing federal legislation had proved to be inadequate. Today, many formerly fetid bodies of water are safe for the use and enjoyment of the people of this country.",Alito,0,,There are 3 sentences in the provided text.,"This case concerns a nagging question about the outer reaches of the Clean Water Act (CWA), the principal federal law regulating water pollution in the United States. By all accounts, the Act has been a great success. Before its enactment in 1972, many of the Nation's rivers, lakes, and streams were severely polluted, and existing federal legislation had proved to be inadequate. Today, many formerly fetid bodies of water are safe for the use and enjoyment of the people of this country. [end]"
2022-001,37,"There is, however, an unfortunate footnote to this success story: the outer boundaries of the Act's geographical reach have been uncertain from the start. The Act applies to ""the waters of the United States,"" but what does that phrase mean? Does the term encompass any backyard that is soggy enough for some minimum period of time? Does it reach ""mudflats, sandflats, wetlands, sloughs, prairie potholes, wet meadows, [or] playa lakes?""[2] How about ditches, swimming pools, and puddles?",Alito,0,,6,"There is, however, an unfortunate footnote to this success story the outer boundaries of the Acts geographical reach have been uncertain from the start The Act applies to the waters of the United States but what does that phrase mean Does the term encompass any backyard that is soggy enough for some minimum period of time Does it reach mudflats sandflats wetlands sloughs prairie potholes wet meadows or playa lakes How about ditches swimming pools and puddles [citation][end]"
2022-001,38,"For more than a half century, the agencies responsible for enforcing the Act have wrestled with the problem and adopted varying interpretations. On three prior occasions, this Court has tried to clarify the meaning of ""the waters of the United States."" But the problem persists. When we last addressed the question 17 years ago, we were unable to agree on an opinion of the Court.[3] Today, we return to the problem and attempt to identify with greater clarity what the Act means by ""the waters of the United States.""  I",Alito,0,,6,"For more than a half century, the agencies responsible for enforcing the Act have wrestled with the problem and adopted varying interpretations. On three prior occasions, this Court has tried to clarify the meaning of ""the waters of the United States"" But the problem persists When we last addressed the question 17 years ago, we were unable to agree on an opinion of the Court[3] Today, we return to the problem and attempt to identify with greater clarity what the Act means by ""the waters of the United States""  I[end]"
2022-001,39,A,Alito,0,,0,
2022-001,40,"For most of this Nation's history, the regulation of water pollution was left almost entirely to the States and their subdivisions. The common law permitted aggrieved parties to bring nuisance suits against polluters. But as industrial production and population growth increased the quantity and toxicity of pollution, States gradually shifted to enforcement by regulatory agencies.[4] Conversely, federal regulation was largely limited to ensuring that ""traditional navigable waters""—that is, interstate waters that were either navigable in fact and used in commerce or readily susceptible of being used in this way— remained free of impediments. See, e.g., Rivers and Harbors Act of 1899, 30 Stat. 1151, see also United States v. Appalachian Elec. Power Co., 311 U.S. 377, 406-407, 61 S.Ct. 291, 85 L.Ed. 243 (1940), The Daniel Ball, 10 Wall. 557, 563, 19 L.Ed. 999 (1871).",Alito,0,,5,"For most of this Nation's history, the regulation of water pollution was left almost entirely to the States and their subdivisions. The common law permitted aggrieved parties to bring nuisance suits against polluters. But as industrial production and population growth increased the quantity and toxicity of pollution, States gradually shifted to enforcement by regulatory agencies. Conversely, federal regulation was largely limited to ensuring that ""traditional navigable waters""—that is, interstate waters that were either navigable in fact and used in commerce or readily susceptible of being used in this way— remained free of impediments. See, eg, Rivers and Harbors Act of 1899, see also United States v. Appalachian Elec. Power Co., 311 U.S. 377, 406-407, 61 S Ct. 291, 85 L Ed. 243 (1940), The Daniel Ball, 10 Wall. 557, 563, 19 L Ed. 999 (1871) [end]"
2022-001,41,"Congress's early efforts at directly regulating water pollution were tepid. Although the Federal Water Pollution Control Act of 1948 allowed federal officials to seek judicial abatement of pollution in interstate waters, it imposed high hurdles, such as requiring the consent of the State where the pollution originated. See 62 Stat. 1156-1157. Despite repeated amendments over the next two decades, few actions were brought under this framework.[5]",Alito,0,,4,"Congress's early efforts at directly regulating water pollution were tepid. Although the Federal Water Pollution Control Act of 1948 allowed federal officials to seek judicial abatement of pollution in interstate waters, it imposed high hurdles, such as requiring the consent of the State where the pollution originated [statute]. End"
2022-001,42,"Congress eventually replaced this scheme in 1972 with the CWA. See 86 Stat. 816. The Act prohibits ""the discharge of any pollutant"" into ""navigable waters."" 33 U.S.C. §§ 1311(a), 1362(12)(A). It broadly defines the term ""`pollutant'"" to include not only contaminants like ""chemical wastes,"" but also more mundane materials like ""rock, sand,"" and ""cellar dirt."" § 1362(6).",Alito,0,,4,"Congress eventually replaced this scheme in 1972 with the CWA See 86 Stat 816 The Act prohibits ""the discharge of any pollutant"" into ""navigable waters"" 33 U.S.C §§ 1311(a), 1362(12)(A) It broadly defines the term ""`pollutant'"" to include not only contaminants like ""chemical wastes"" but also more mundane materials like ""rock, sand"" and ""cellar dirt"" § 1362(6) [end]"
2022-001,43,"The CWA is a potent weapon. It imposes what have been described as ""crushing"" consequences ""even for inadvertent violations."" Army Corps of Engineers v. Hawkes Co., 578 U.S. 590, 602, 136 S.Ct. 1807, 195 L.Ed.2d 77 (2016) (KENNEDY, J., concurring). Property owners who negligently discharge ""pollutants"" into covered waters may face severe criminal penalties including imprisonment. § 1319(c). These penalties increase for knowing violations. Ibid. On the civil side, the CWA imposes over $60,000 in fines per day for each violation. See Note following 28 U.S.C. § 2461, 33 U.S.C. § 1319(d), 88 Fed. Reg. 989 (2023) (to be codified in 40 C.F.R. § 19.4). And due to the Act's 5-year statute of limitations, 28 U.S.C. § 2462, and expansive interpretations of the term ""violation,"" these civil penalties can be nearly as crushing as their criminal counterparts, see, e.g., Borden Ranch Partnership v. United States Army Corps of Engineers, 261 F.3d 810, 813, 818 (C.A.9 2001) (upholding Agency decision to count each of 348 passes of a plow by a farmer through ""jurisdictional"" soil on his farm as a separate violation), aff'd by an equally divided Court, 537 U.S. 99, 123 S.Ct. 599, 154 L.Ed.2d 508 (2002) (per curiam).",Alito,0,,6,"The CWA is a potent weapon It imposes what have been described as ""crushing"" consequences ""even for inadvertent violations"" [citation] Property owners who negligently discharge ""pollutants"" into covered waters may face severe criminal penalties including imprisonment [statute] These penalties increase for knowing violations Ibid On the civil side the CWA imposes over $60,000 in fines per day for each violation See Note following 28 U.S.C. [statute] 33 U.S.C. [statute] 88 Fed Reg 989 (2023) (to be codified in 40 C.F.R. [statute]) And due to the Act's 5-year statute of limitations 28 U.S.C. [statute] and expansive interpretations of the term ""violation"" these civil penalties can be nearly as crushing as their criminal counterparts see eg Borden Ranch Partnership v. United States Army Corps of Engineers 261 F3d 810 813 818 (CA9 2001) (upholding Agency decision to count each of 348 passes of a plow by a farmer through ""jurisdictional"" soil on his farm as a separate violation) aff'd by an equally divided Court 537 U.S. 99 123 SCt 599 154 LEd2d 508 (2002) (per curiam) [end]"
2022-001,44,"The Environmental Protection Agency (EPA) and the Army Corps of Engineers (Corps) jointly enforce the CWA. The EPA is tasked with policing violations after the fact, either by issuing orders demanding  compliance or by bringing civil actions. § 1319(a). The Act also authorizes private plaintiffs to sue to enforce its requirements. § 1365(a). On the front end, both agencies are empowered to issue permits exempting activity that would otherwise be unlawful under the Act. Relevant here, the Corps controls permits for the discharge of dredged or fill material into covered waters. See § 1344(a). The costs of obtaining such a permit are ""significant,"" and both agencies have admitted that ""the permitting process can be arduous, expensive, and long."" Hawkes Co., 578 U.S., at 594-595, 601, 136 S.Ct. 1807. Success is also far from guaranteed, as the Corps has asserted discretion to grant or deny permits based on a long, nonexclusive list of factors that ends with a catchall mandate to consider ""in general, the needs and welfare of the people."" 33 C.F.R. § 320.4(a)(1) (2022).",Alito,0,,7,"The Environmental Protection Agency (EPA) and the Army Corps of Engineers (Corps) jointly enforce the CWA. The EPA is tasked with policing violations after the fact, either by issuing orders demanding compliance or by bringing civil actions [statute]. The Act also authorizes private plaintiffs to sue to enforce its requirements [statute]. On the front end, both agencies are empowered to issue permits exempting activity that would otherwise be unlawful under the Act. Relevant here, the Corps controls permits for the discharge of dredged or fill material into covered waters [statute]. The costs of obtaining such a permit are ""significant,"" and both agencies have admitted that ""the permitting process can be arduous, expensive, and long."" Hawkes Co., 578 U S, at 594-595, 601, 136 SCt 1807. Success is also far from guaranteed, as the Corps has asserted discretion to grant or deny permits based on a long, nonexclusive list of factors that ends with a catchall mandate to consider ""in general, the needs and welfare of the people."" 33 CFR § 320 4(a)(1) 2022 [end]"
2022-001,45,"Due to the CWA's capacious definition of ""pollutant,"" its low mens rea, and its severe penalties, regulated parties have focused particular attention on the Act's geographic scope. While its predecessor encompassed ""interstate or navigable waters,"" 33 U.S.C. § 1160(a) (1970 ed.), the CWA prohibits the discharge of pollutants into only ""navigable waters,"" which it defines as ""the waters of the United States, including the territorial seas,"" 33 U.S.C. §§ 1311(a), 1362(7), (12)(A) (2018 ed.). The meaning of this definition is the persistent problem that we must address.",Alito,0,,4,"Due to the CWA's capacious definition of ""pollutant,"" its low mens rea, and its severe penalties, regulated parties have focused particular attention on the Act's geographic scope While its predecessor encompassed ""interstate or navigable waters,"" 33 U.S.C. § 1160(a) (1970 ed), the CWA prohibits the discharge of pollutants into only ""navigable waters,"" which it defines as ""the waters of the United States, including the territorial seas,"" 33 U.S.C. §§ 1311(a), 1362(7), (12)(A) (2018 ed) The meaning of this definition is the persistent problem that we must address [end]    "
